gene_symbol,chromosome,sex-bias,tissue
UTY,Y,M,Medulla
ZFY,Y,M,Medulla
CD48,1,F,Monocyte_derived_dendritic_cells
CTSK,1,F,Monocyte_derived_dendritic_cells
GBP1,1,F,Monocyte_derived_dendritic_cells
GBP3,1,F,Monocyte_derived_dendritic_cells
KIAA1324,1,F,Monocyte_derived_dendritic_cells
ADCY3,2,F,Monocyte_derived_dendritic_cells
REL,2,F,Monocyte_derived_dendritic_cells
SLC8A1,2,F,Monocyte_derived_dendritic_cells
STAT4,2,F,Monocyte_derived_dendritic_cells
TNFAIP6,2,F,Monocyte_derived_dendritic_cells
ADGRG7,3,F,Monocyte_derived_dendritic_cells
NFKBIZ,3,F,Monocyte_derived_dendritic_cells
IL15,4,F,Monocyte_derived_dendritic_cells
RHOH,4,F,Monocyte_derived_dendritic_cells
TNIP3,4,F,Monocyte_derived_dendritic_cells
IRF1,5,F,Monocyte_derived_dendritic_cells
HIVEP2,6,F,Monocyte_derived_dendritic_cells
ITGB8,7,F,Monocyte_derived_dendritic_cells
MSR1,8,F,Monocyte_derived_dendritic_cells
PTK2B,8,F,Monocyte_derived_dendritic_cells
SLCO5A1,8,F,Monocyte_derived_dendritic_cells
TRAF1,9,F,Monocyte_derived_dendritic_cells
TTC39B,9,F,Monocyte_derived_dendritic_cells
CASP7,10,F,Monocyte_derived_dendritic_cells
IL2RA,10,F,Monocyte_derived_dendritic_cells
CD3E,11,F,Monocyte_derived_dendritic_cells
ABCD2,12,F,Monocyte_derived_dendritic_cells
GAPDH,12,F,Monocyte_derived_dendritic_cells
GPR68,14,F,Monocyte_derived_dendritic_cells
ATP10A,15,F,Monocyte_derived_dendritic_cells
IL4R,16,F,Monocyte_derived_dendritic_cells
SLC7A5,16,F,Monocyte_derived_dendritic_cells
ALOX15B,17,F,Monocyte_derived_dendritic_cells
BRIP1,17,F,Monocyte_derived_dendritic_cells
CCR7,17,F,Monocyte_derived_dendritic_cells
PTPN1,20,F,Monocyte_derived_dendritic_cells
ARSD,X,F,Monocyte_derived_dendritic_cells
CFAP47,X,F,Monocyte_derived_dendritic_cells
CT45A1,X,F,Monocyte_derived_dendritic_cells
CT45A2,X,F,Monocyte_derived_dendritic_cells
CT45A3,X,F,Monocyte_derived_dendritic_cells
CT45A6,X,F,Monocyte_derived_dendritic_cells
DDX3X,X,F,Monocyte_derived_dendritic_cells
GAGE12B,X,F,Monocyte_derived_dendritic_cells
GAGE12G,X,F,Monocyte_derived_dendritic_cells
GAGE12I,X,F,Monocyte_derived_dendritic_cells
GAGE12J,X,F,Monocyte_derived_dendritic_cells
KDM5C,X,F,Monocyte_derived_dendritic_cells
KDM6A,X,F,Monocyte_derived_dendritic_cells
PNPLA4,X,F,Monocyte_derived_dendritic_cells
PRKX,X,F,Monocyte_derived_dendritic_cells
PUDP,X,F,Monocyte_derived_dendritic_cells
RPS4X,X,F,Monocyte_derived_dendritic_cells
SMC1A,X,F,Monocyte_derived_dendritic_cells
STS,X,F,Monocyte_derived_dendritic_cells
XAGE5,X,F,Monocyte_derived_dendritic_cells
ZFX,X,F,Monocyte_derived_dendritic_cells
ATF2,2,M,Monocyte_derived_dendritic_cells
GLB1L,2,M,Monocyte_derived_dendritic_cells
LRRFIP1,2,M,Monocyte_derived_dendritic_cells
ZNF513,2,M,Monocyte_derived_dendritic_cells
TEC,4,M,Monocyte_derived_dendritic_cells
CD24,6,M,Monocyte_derived_dendritic_cells
FAM26F,6,M,Monocyte_derived_dendritic_cells
MRAP2,6,M,Monocyte_derived_dendritic_cells
UST,6,M,Monocyte_derived_dendritic_cells
STEAP4,7,M,Monocyte_derived_dendritic_cells
KLF4,9,M,Monocyte_derived_dendritic_cells
FAM24B,10,M,Monocyte_derived_dendritic_cells
HPS1,10,M,Monocyte_derived_dendritic_cells
ST8SIA6,10,M,Monocyte_derived_dendritic_cells
AP2A2,11,M,Monocyte_derived_dendritic_cells
IL18,11,M,Monocyte_derived_dendritic_cells
TNFRSF1A,12,M,Monocyte_derived_dendritic_cells
GCOM1,15,M,Monocyte_derived_dendritic_cells
GNAS,20,M,Monocyte_derived_dendritic_cells
BPY2,Y,M,Monocyte_derived_dendritic_cells
CDY1,Y,M,Monocyte_derived_dendritic_cells
DAZ1,Y,M,Monocyte_derived_dendritic_cells
DAZ2,Y,M,Monocyte_derived_dendritic_cells
DDX3Y,Y,M,Monocyte_derived_dendritic_cells
EIF1AY,Y,M,Monocyte_derived_dendritic_cells
HSFY2,Y,M,Monocyte_derived_dendritic_cells
KDM5D,Y,M,Monocyte_derived_dendritic_cells
NLGN4Y,Y,M,Monocyte_derived_dendritic_cells
PRY,Y,M,Monocyte_derived_dendritic_cells
RBMY1A1,Y,M,Monocyte_derived_dendritic_cells
RBMY1B,Y,M,Monocyte_derived_dendritic_cells
RPS4Y1,Y,M,Monocyte_derived_dendritic_cells
RPS4Y2,Y,M,Monocyte_derived_dendritic_cells
TMSB4Y,Y,M,Monocyte_derived_dendritic_cells
TSPY1,Y,M,Monocyte_derived_dendritic_cells
TSPY2,Y,M,Monocyte_derived_dendritic_cells
TSPY3,Y,M,Monocyte_derived_dendritic_cells
USP9Y,Y,M,Monocyte_derived_dendritic_cells
UTY,Y,M,Monocyte_derived_dendritic_cells
XKRY,Y,M,Monocyte_derived_dendritic_cells
ZFY,Y,M,Monocyte_derived_dendritic_cells
TPRG1,3,F,Muscle
ERCC6L,X,F,Muscle
MAP7D2,X,F,Muscle
TSPAN5,4,M,Muscle
IRF4,6,M,Muscle
MMP3,11,M,Muscle
AMER2,13,M,Muscle
IRX3,16,M,Muscle
CDH20,18,M,Muscle
GGT7,20,M,Muscle
DDX3Y,Y,M,Muscle
EIF1AY,Y,M,Muscle
KDM5D,Y,M,Muscle
NLGN4Y,Y,M,Muscle
RPS4Y1,Y,M,Muscle
TBL1Y,Y,M,Muscle
TMSB4Y,Y,M,Muscle
USP9Y,Y,M,Muscle
UTY,Y,M,Muscle
ZFY,Y,M,Muscle
ACTG2,2,M,Neocortex
GYPC,2,M,Neocortex
ITIH2,10,M,Neocortex
EMP3,19,M,Neocortex
MAP7D2,X,F,Nerve
CADPS,3,M,Nerve
MMP3,11,M,Nerve
CLIC6,21,M,Nerve
SLITRK4,X,M,Nerve
DDX3Y,Y,M,Nerve
EIF1AY,Y,M,Nerve
KDM5D,Y,M,Nerve
NLGN4Y,Y,M,Nerve
PCDH11Y,Y,M,Nerve
RPS4Y1,Y,M,Nerve
TBL1Y,Y,M,Nerve
TMSB4Y,Y,M,Nerve
USP9Y,Y,M,Nerve
UTY,Y,M,Nerve
ZFY,Y,M,Nerve
DDX3Y,Y,M,Nucleusaccumbens
EIF1AY,Y,M,Nucleusaccumbens
KDM5D,Y,M,Nucleusaccumbens
NLGN4Y,Y,M,Nucleusaccumbens
RPS4Y1,Y,M,Nucleusaccumbens
TBL1Y,Y,M,Nucleusaccumbens
TMSB4Y,Y,M,Nucleusaccumbens
USP9Y,Y,M,Nucleusaccumbens
UTY,Y,M,Nucleusaccumbens
ZFY,Y,M,Nucleusaccumbens
KDM5C,X,F,Occipital_cortex
KDM6A,X,F,Occipital_cortex
PUDP,X,F,Occipital_cortex
ZFX,X,F,Occipital_cortex
DDX3Y,Y,M,Occipital_cortex
EIF1AY,Y,M,Occipital_cortex
KDM5D,Y,M,Occipital_cortex
NLGN4Y,Y,M,Occipital_cortex
RPS4Y1,Y,M,Occipital_cortex
TMSB4Y,Y,M,Occipital_cortex
USP9Y,Y,M,Occipital_cortex
UTY,Y,M,Occipital_cortex
ZFY,Y,M,Occipital_cortex
PUDP,X,F,Orbital_prefrontal_cortex
ZFX,X,F,Orbital_prefrontal_cortex
OLFML3,1,M,Orbital_prefrontal_cortex
COL3A1,2,M,Orbital_prefrontal_cortex
SPARC,5,M,Orbital_prefrontal_cortex
CTGF,6,M,Orbital_prefrontal_cortex
COL1A2,7,M,Orbital_prefrontal_cortex
ITIH5,10,M,Orbital_prefrontal_cortex
LUM,12,M,Orbital_prefrontal_cortex
RNASE1,14,M,Orbital_prefrontal_cortex
ISLR,15,M,Orbital_prefrontal_cortex
COLEC12,18,M,Orbital_prefrontal_cortex
BGN,X,M,Orbital_prefrontal_cortex
DDX3Y,Y,M,Orbital_prefrontal_cortex
EIF1AY,Y,M,Orbital_prefrontal_cortex
NLGN4Y,Y,M,Orbital_prefrontal_cortex
PCDH11Y,Y,M,Orbital_prefrontal_cortex
RPS4Y1,Y,M,Orbital_prefrontal_cortex
TMSB4Y,Y,M,Orbital_prefrontal_cortex
USP9Y,Y,M,Orbital_prefrontal_cortex
UTY,Y,M,Orbital_prefrontal_cortex
ZFY,Y,M,Orbital_prefrontal_cortex
AGRN,1,F,Peripheral_blood_mononuclear_cells
ARHGEF11,1,F,Peripheral_blood_mononuclear_cells
B3GALT2,1,F,Peripheral_blood_mononuclear_cells
B4GALT3,1,F,Peripheral_blood_mononuclear_cells
CACHD1,1,F,Peripheral_blood_mononuclear_cells
CD1A,1,F,Peripheral_blood_mononuclear_cells
CD1C,1,F,Peripheral_blood_mononuclear_cells
CD55,1,F,Peripheral_blood_mononuclear_cells
CDC42BPA,1,F,Peripheral_blood_mononuclear_cells
CLIC4,1,F,Peripheral_blood_mononuclear_cells
CR1,1,F,Peripheral_blood_mononuclear_cells
CR1L,1,F,Peripheral_blood_mononuclear_cells
CYR61,1,F,Peripheral_blood_mononuclear_cells
DDAH1,1,F,Peripheral_blood_mononuclear_cells
DHRS3,1,F,Peripheral_blood_mononuclear_cells
DNM3,1,F,Peripheral_blood_mononuclear_cells
EGLN1,1,F,Peripheral_blood_mononuclear_cells
FCGR2A,1,F,Peripheral_blood_mononuclear_cells
FCGR2B,1,F,Peripheral_blood_mononuclear_cells
FCGR2C,1,F,Peripheral_blood_mononuclear_cells
FCMR,1,F,Peripheral_blood_mononuclear_cells
FOXD3,1,F,Peripheral_blood_mononuclear_cells
FRRS1,1,F,Peripheral_blood_mononuclear_cells
GPA33,1,F,Peripheral_blood_mononuclear_cells
HFM1,1,F,Peripheral_blood_mononuclear_cells
HHAT,1,F,Peripheral_blood_mononuclear_cells
HIST3H2A,1,F,Peripheral_blood_mononuclear_cells
HORMAD1,1,F,Peripheral_blood_mononuclear_cells
HSPA6,1,F,Peripheral_blood_mononuclear_cells
IFI44L,1,F,Peripheral_blood_mononuclear_cells
IFI6,1,F,Peripheral_blood_mononuclear_cells
IGSF21,1,F,Peripheral_blood_mononuclear_cells
INSL5,1,F,Peripheral_blood_mononuclear_cells
INTS3,1,F,Peripheral_blood_mononuclear_cells
IQCC,1,F,Peripheral_blood_mononuclear_cells
ISG15,1,F,Peripheral_blood_mononuclear_cells
KCNA10,1,F,Peripheral_blood_mononuclear_cells
KCNC4,1,F,Peripheral_blood_mononuclear_cells
KCNK2,1,F,Peripheral_blood_mononuclear_cells
LIN28A,1,F,Peripheral_blood_mononuclear_cells
LOR,1,F,Peripheral_blood_mononuclear_cells
MATN1,1,F,Peripheral_blood_mononuclear_cells
MIER1,1,F,Peripheral_blood_mononuclear_cells
MIXL1,1,F,Peripheral_blood_mononuclear_cells
MUC1,1,F,Peripheral_blood_mononuclear_cells
MYOG,1,F,Peripheral_blood_mononuclear_cells
NLRP3,1,F,Peripheral_blood_mononuclear_cells
NPPA,1,F,Peripheral_blood_mononuclear_cells
NR0B2,1,F,Peripheral_blood_mononuclear_cells
NSL1,1,F,Peripheral_blood_mononuclear_cells
OAZ3,1,F,Peripheral_blood_mononuclear_cells
OBSCN,1,F,Peripheral_blood_mononuclear_cells
OLFML2B,1,F,Peripheral_blood_mononuclear_cells
OPN3,1,F,Peripheral_blood_mononuclear_cells
OR10K1,1,F,Peripheral_blood_mononuclear_cells
PAFAH2,1,F,Peripheral_blood_mononuclear_cells
PBX1,1,F,Peripheral_blood_mononuclear_cells
PDE4B,1,F,Peripheral_blood_mononuclear_cells
PDZK1IP1,1,F,Peripheral_blood_mononuclear_cells
RHD,1,F,Peripheral_blood_mononuclear_cells
S100A7A,1,F,Peripheral_blood_mononuclear_cells
SMAP2,1,F,Peripheral_blood_mononuclear_cells
SORT1,1,F,Peripheral_blood_mononuclear_cells
ST7L,1,F,Peripheral_blood_mononuclear_cells
TAF13,1,F,Peripheral_blood_mononuclear_cells
TAL1,1,F,Peripheral_blood_mononuclear_cells
THRAP3,1,F,Peripheral_blood_mononuclear_cells
TRIM63,1,F,Peripheral_blood_mononuclear_cells
VWA1,1,F,Peripheral_blood_mononuclear_cells
WDTC1,1,F,Peripheral_blood_mononuclear_cells
ACADL,2,F,Peripheral_blood_mononuclear_cells
ALPI,2,F,Peripheral_blood_mononuclear_cells
ALS2CR12,2,F,Peripheral_blood_mononuclear_cells
APOB,2,F,Peripheral_blood_mononuclear_cells
ASAP2,2,F,Peripheral_blood_mononuclear_cells
BBS5,2,F,Peripheral_blood_mononuclear_cells
BCL2L11,2,F,Peripheral_blood_mononuclear_cells
C2orf82,2,F,Peripheral_blood_mononuclear_cells
CD8B,2,F,Peripheral_blood_mononuclear_cells
CMPK2,2,F,Peripheral_blood_mononuclear_cells
COPS8,2,F,Peripheral_blood_mononuclear_cells
CYP26B1,2,F,Peripheral_blood_mononuclear_cells
DES,2,F,Peripheral_blood_mononuclear_cells
DNAH6,2,F,Peripheral_blood_mononuclear_cells
EDAR,2,F,Peripheral_blood_mononuclear_cells
EFEMP1,2,F,Peripheral_blood_mononuclear_cells
EIF2AK3,2,F,Peripheral_blood_mononuclear_cells
FAM124B,2,F,Peripheral_blood_mononuclear_cells
FIGN,2,F,Peripheral_blood_mononuclear_cells
GAD1,2,F,Peripheral_blood_mononuclear_cells
GBX2,2,F,Peripheral_blood_mononuclear_cells
GCG,2,F,Peripheral_blood_mononuclear_cells
GPR39,2,F,Peripheral_blood_mononuclear_cells
GRB14,2,F,Peripheral_blood_mononuclear_cells
HOXD1,2,F,Peripheral_blood_mononuclear_cells
HOXD13,2,F,Peripheral_blood_mononuclear_cells
ID2,2,F,Peripheral_blood_mononuclear_cells
IFT172,2,F,Peripheral_blood_mononuclear_cells
IGFBP2,2,F,Peripheral_blood_mononuclear_cells
IL1R1,2,F,Peripheral_blood_mononuclear_cells
IL1RN,2,F,Peripheral_blood_mononuclear_cells
LOXL3,2,F,Peripheral_blood_mononuclear_cells
M1AP,2,F,Peripheral_blood_mononuclear_cells
MYCN,2,F,Peripheral_blood_mononuclear_cells
NCKAP5,2,F,Peripheral_blood_mononuclear_cells
NCOA1,2,F,Peripheral_blood_mononuclear_cells
NEU2,2,F,Peripheral_blood_mononuclear_cells
NXPH2,2,F,Peripheral_blood_mononuclear_cells
PUM2,2,F,Peripheral_blood_mononuclear_cells
RAPGEF4,2,F,Peripheral_blood_mononuclear_cells
REG1B,2,F,Peripheral_blood_mononuclear_cells
RGPD5,2,F,Peripheral_blood_mononuclear_cells
RGPD6,2,F,Peripheral_blood_mononuclear_cells
RHBDD1,2,F,Peripheral_blood_mononuclear_cells
RSAD2,2,F,Peripheral_blood_mononuclear_cells
SCN9A,2,F,Peripheral_blood_mononuclear_cells
SERTAD2,2,F,Peripheral_blood_mononuclear_cells
SH3RF3,2,F,Peripheral_blood_mononuclear_cells
SNED1,2,F,Peripheral_blood_mononuclear_cells
SP3,2,F,Peripheral_blood_mononuclear_cells
SP5,2,F,Peripheral_blood_mononuclear_cells
TANC1,2,F,Peripheral_blood_mononuclear_cells
TMEFF2,2,F,Peripheral_blood_mononuclear_cells
TMEM37,2,F,Peripheral_blood_mononuclear_cells
TNFAIP6,2,F,Peripheral_blood_mononuclear_cells
UBR3,2,F,Peripheral_blood_mononuclear_cells
ABCC5,3,F,Peripheral_blood_mononuclear_cells
ACAD9,3,F,Peripheral_blood_mononuclear_cells
ALS2CL,3,F,Peripheral_blood_mononuclear_cells
AMIGO3,3,F,Peripheral_blood_mononuclear_cells
ATP13A5,3,F,Peripheral_blood_mononuclear_cells
C3orf36,3,F,Peripheral_blood_mononuclear_cells
CAND2,3,F,Peripheral_blood_mononuclear_cells
CCDC39,3,F,Peripheral_blood_mononuclear_cells
CCR9,3,F,Peripheral_blood_mononuclear_cells
CHL1,3,F,Peripheral_blood_mononuclear_cells
CISH,3,F,Peripheral_blood_mononuclear_cells
DCBLD2,3,F,Peripheral_blood_mononuclear_cells
DGKG,3,F,Peripheral_blood_mononuclear_cells
DPPA4,3,F,Peripheral_blood_mononuclear_cells
EPHB3,3,F,Peripheral_blood_mononuclear_cells
FETUB,3,F,Peripheral_blood_mononuclear_cells
FLNB,3,F,Peripheral_blood_mononuclear_cells
FNDC3B,3,F,Peripheral_blood_mononuclear_cells
GPR149,3,F,Peripheral_blood_mononuclear_cells
HEG1,3,F,Peripheral_blood_mononuclear_cells
ILDR1,3,F,Peripheral_blood_mononuclear_cells
IQCF2,3,F,Peripheral_blood_mononuclear_cells
ITGB5,3,F,Peripheral_blood_mononuclear_cells
MRAS,3,F,Peripheral_blood_mononuclear_cells
NFKBIZ,3,F,Peripheral_blood_mononuclear_cells
OSBPL10,3,F,Peripheral_blood_mononuclear_cells
PLA1A,3,F,Peripheral_blood_mononuclear_cells
PLS1,3,F,Peripheral_blood_mononuclear_cells
PLXND1,3,F,Peripheral_blood_mononuclear_cells
PRSS50,3,F,Peripheral_blood_mononuclear_cells
RARB,3,F,Peripheral_blood_mononuclear_cells
RARRES1,3,F,Peripheral_blood_mononuclear_cells
SLC4A7,3,F,Peripheral_blood_mononuclear_cells
TDGF1,3,F,Peripheral_blood_mononuclear_cells
TF,3,F,Peripheral_blood_mononuclear_cells
TM4SF18,3,F,Peripheral_blood_mononuclear_cells
TMPPE,3,F,Peripheral_blood_mononuclear_cells
UPK1B,3,F,Peripheral_blood_mononuclear_cells
USP13,3,F,Peripheral_blood_mononuclear_cells
VIPR1,3,F,Peripheral_blood_mononuclear_cells
ADH1B,4,F,Peripheral_blood_mononuclear_cells
ADH6,4,F,Peripheral_blood_mononuclear_cells
ARHGAP10,4,F,Peripheral_blood_mononuclear_cells
CCKAR,4,F,Peripheral_blood_mononuclear_cells
CD38,4,F,Peripheral_blood_mononuclear_cells
CXCL5,4,F,Peripheral_blood_mononuclear_cells
DCHS2,4,F,Peripheral_blood_mononuclear_cells
FAM13A,4,F,Peripheral_blood_mononuclear_cells
GK2,4,F,Peripheral_blood_mononuclear_cells
HERC5,4,F,Peripheral_blood_mononuclear_cells
IRF2,4,F,Peripheral_blood_mononuclear_cells
KLHL5,4,F,Peripheral_blood_mononuclear_cells
MSANTD1,4,F,Peripheral_blood_mononuclear_cells
PALLD,4,F,Peripheral_blood_mononuclear_cells
PAPSS1,4,F,Peripheral_blood_mononuclear_cells
PDGFRA,4,F,Peripheral_blood_mononuclear_cells
PDLIM3,4,F,Peripheral_blood_mononuclear_cells
PDLIM5,4,F,Peripheral_blood_mononuclear_cells
PF4V1,4,F,Peripheral_blood_mononuclear_cells
PTPN13,4,F,Peripheral_blood_mononuclear_cells
RBM46,4,F,Peripheral_blood_mononuclear_cells
SFRP2,4,F,Peripheral_blood_mononuclear_cells
SH3RF1,4,F,Peripheral_blood_mononuclear_cells
SHROOM3,4,F,Peripheral_blood_mononuclear_cells
SLC10A4,4,F,Peripheral_blood_mononuclear_cells
STOX2,4,F,Peripheral_blood_mononuclear_cells
SULT1E1,4,F,Peripheral_blood_mononuclear_cells
UGT2B4,4,F,Peripheral_blood_mononuclear_cells
ADAMTS16,5,F,Peripheral_blood_mononuclear_cells
ADGRV1,5,F,Peripheral_blood_mononuclear_cells
ALDH7A1,5,F,Peripheral_blood_mononuclear_cells
ANKRD55,5,F,Peripheral_blood_mononuclear_cells
ARHGAP26,5,F,Peripheral_blood_mononuclear_cells
ARRDC3,5,F,Peripheral_blood_mononuclear_cells
CMBL,5,F,Peripheral_blood_mononuclear_cells
DDX4,5,F,Peripheral_blood_mononuclear_cells
EGR1,5,F,Peripheral_blood_mononuclear_cells
FAM193B,5,F,Peripheral_blood_mononuclear_cells
FGF18,5,F,Peripheral_blood_mononuclear_cells
GABRA6,5,F,Peripheral_blood_mononuclear_cells
GPX8,5,F,Peripheral_blood_mononuclear_cells
HAVCR1,5,F,Peripheral_blood_mononuclear_cells
HBEGF,5,F,Peripheral_blood_mononuclear_cells
HOMER1,5,F,Peripheral_blood_mononuclear_cells
KCNN2,5,F,Peripheral_blood_mononuclear_cells
LPCAT1,5,F,Peripheral_blood_mononuclear_cells
MARVELD2,5,F,Peripheral_blood_mononuclear_cells
MYOT,5,F,Peripheral_blood_mononuclear_cells
NREP,5,F,Peripheral_blood_mononuclear_cells
PCDHB7,5,F,Peripheral_blood_mononuclear_cells
PDE8B,5,F,Peripheral_blood_mononuclear_cells
PLPP1,5,F,Peripheral_blood_mononuclear_cells
POLR3G,5,F,Peripheral_blood_mononuclear_cells
ROPN1L,5,F,Peripheral_blood_mononuclear_cells
SHROOM1,5,F,Peripheral_blood_mononuclear_cells
SPATA9,5,F,Peripheral_blood_mononuclear_cells
SRP19,5,F,Peripheral_blood_mononuclear_cells
SSBP2,5,F,Peripheral_blood_mononuclear_cells
TIMD4,5,F,Peripheral_blood_mononuclear_cells
TTC23L,5,F,Peripheral_blood_mononuclear_cells
UBE2D2,5,F,Peripheral_blood_mononuclear_cells
UBE2QL1,5,F,Peripheral_blood_mononuclear_cells
ZNF300,5,F,Peripheral_blood_mononuclear_cells
AIF1,6,F,Peripheral_blood_mononuclear_cells
ANKS1A,6,F,Peripheral_blood_mononuclear_cells
ARG1,6,F,Peripheral_blood_mononuclear_cells
BACH2,6,F,Peripheral_blood_mononuclear_cells
BVES,6,F,Peripheral_blood_mononuclear_cells
C6orf25,6,F,Peripheral_blood_mononuclear_cells
CRISP2,6,F,Peripheral_blood_mononuclear_cells
DUSP22,6,F,Peripheral_blood_mononuclear_cells
EPB41L2,6,F,Peripheral_blood_mononuclear_cells
GNL1,6,F,Peripheral_blood_mononuclear_cells
GRIK2,6,F,Peripheral_blood_mononuclear_cells
GTF2H4,6,F,Peripheral_blood_mononuclear_cells
HFE,6,F,Peripheral_blood_mononuclear_cells
HIST1H2BA,6,F,Peripheral_blood_mononuclear_cells
HIST1H2BK,6,F,Peripheral_blood_mononuclear_cells
HIST1H2BL,6,F,Peripheral_blood_mononuclear_cells
HIST1H3A,6,F,Peripheral_blood_mononuclear_cells
HIST1H3G,6,F,Peripheral_blood_mononuclear_cells
HIST1H4B,6,F,Peripheral_blood_mononuclear_cells
HIST1H4E,6,F,Peripheral_blood_mononuclear_cells
HLA-DQB1,6,F,Peripheral_blood_mononuclear_cells
HLA-DRB1,6,F,Peripheral_blood_mononuclear_cells
HLA-DRB5,6,F,Peripheral_blood_mononuclear_cells
IMPG1,6,F,Peripheral_blood_mononuclear_cells
KHDRBS2,6,F,Peripheral_blood_mononuclear_cells
LAMA2,6,F,Peripheral_blood_mononuclear_cells
OR11A1,6,F,Peripheral_blood_mononuclear_cells
PDE7B,6,F,Peripheral_blood_mononuclear_cells
PIM1,6,F,Peripheral_blood_mononuclear_cells
PLG,6,F,Peripheral_blood_mononuclear_cells
PLN,6,F,Peripheral_blood_mononuclear_cells
PTCHD4,6,F,Peripheral_blood_mononuclear_cells
RAB23,6,F,Peripheral_blood_mononuclear_cells
RNF144B,6,F,Peripheral_blood_mononuclear_cells
SFT2D1,6,F,Peripheral_blood_mononuclear_cells
SGK1,6,F,Peripheral_blood_mononuclear_cells
SIRT5,6,F,Peripheral_blood_mononuclear_cells
SOBP,6,F,Peripheral_blood_mononuclear_cells
SYNGAP1,6,F,Peripheral_blood_mononuclear_cells
TINAG,6,F,Peripheral_blood_mononuclear_cells
TRERF1,6,F,Peripheral_blood_mononuclear_cells
VIP,6,F,Peripheral_blood_mononuclear_cells
VNN2,6,F,Peripheral_blood_mononuclear_cells
AASS,7,F,Peripheral_blood_mononuclear_cells
ADAM22,7,F,Peripheral_blood_mononuclear_cells
ATG9B,7,F,Peripheral_blood_mononuclear_cells
AVL9,7,F,Peripheral_blood_mononuclear_cells
BAIAP2L1,7,F,Peripheral_blood_mononuclear_cells
BRAF,7,F,Peripheral_blood_mononuclear_cells
CALN1,7,F,Peripheral_blood_mononuclear_cells
CDCA7L,7,F,Peripheral_blood_mononuclear_cells
CDK14,7,F,Peripheral_blood_mononuclear_cells
CDK6,7,F,Peripheral_blood_mononuclear_cells
CEP41,7,F,Peripheral_blood_mononuclear_cells
CNTNAP2,7,F,Peripheral_blood_mononuclear_cells
CPED1,7,F,Peripheral_blood_mononuclear_cells
CREB5,7,F,Peripheral_blood_mononuclear_cells
CUX1,7,F,Peripheral_blood_mononuclear_cells
DLX6,7,F,Peripheral_blood_mononuclear_cells
EPO,7,F,Peripheral_blood_mononuclear_cells
FKBP6,7,F,Peripheral_blood_mononuclear_cells
GAL3ST4,7,F,Peripheral_blood_mononuclear_cells
GATSL2,7,F,Peripheral_blood_mononuclear_cells
GET4,7,F,Peripheral_blood_mononuclear_cells
GNAI1,7,F,Peripheral_blood_mononuclear_cells
GPR141,7,F,Peripheral_blood_mononuclear_cells
GRM8,7,F,Peripheral_blood_mononuclear_cells
HDAC9,7,F,Peripheral_blood_mononuclear_cells
HOXA9,7,F,Peripheral_blood_mononuclear_cells
LMTK2,7,F,Peripheral_blood_mononuclear_cells
NFE2L3,7,F,Peripheral_blood_mononuclear_cells
NOS3,7,F,Peripheral_blood_mononuclear_cells
OPN1SW,7,F,Peripheral_blood_mononuclear_cells
POLR2J3,7,F,Peripheral_blood_mononuclear_cells
PPP1R3A,7,F,Peripheral_blood_mononuclear_cells
PSPH,7,F,Peripheral_blood_mononuclear_cells
RASA4,7,F,Peripheral_blood_mononuclear_cells
SEMA3A,7,F,Peripheral_blood_mononuclear_cells
SLC13A1,7,F,Peripheral_blood_mononuclear_cells
SPDYE1,7,F,Peripheral_blood_mononuclear_cells
SPDYE2,7,F,Peripheral_blood_mononuclear_cells
SPDYE5,7,F,Peripheral_blood_mononuclear_cells
STEAP4,7,F,Peripheral_blood_mononuclear_cells
SUN1,7,F,Peripheral_blood_mononuclear_cells
TPST1,7,F,Peripheral_blood_mononuclear_cells
UPP1,7,F,Peripheral_blood_mononuclear_cells
VIPR2,7,F,Peripheral_blood_mononuclear_cells
WIPF3,7,F,Peripheral_blood_mononuclear_cells
ZNF777,7,F,Peripheral_blood_mononuclear_cells
ANGPT1,8,F,Peripheral_blood_mononuclear_cells
ANK1,8,F,Peripheral_blood_mononuclear_cells
C8orf4,8,F,Peripheral_blood_mononuclear_cells
DEFA6,8,F,Peripheral_blood_mononuclear_cells
DEPTOR,8,F,Peripheral_blood_mononuclear_cells
ENPP2,8,F,Peripheral_blood_mononuclear_cells
EXT1,8,F,Peripheral_blood_mononuclear_cells
FAM83H,8,F,Peripheral_blood_mononuclear_cells
FAM92A1,8,F,Peripheral_blood_mononuclear_cells
HAS2,8,F,Peripheral_blood_mononuclear_cells
MMP16,8,F,Peripheral_blood_mononuclear_cells
MSR1,8,F,Peripheral_blood_mononuclear_cells
NRG1,8,F,Peripheral_blood_mononuclear_cells
PTK2,8,F,Peripheral_blood_mononuclear_cells
PURG,8,F,Peripheral_blood_mononuclear_cells
RHPN1,8,F,Peripheral_blood_mononuclear_cells
SFRP1,8,F,Peripheral_blood_mononuclear_cells
SPAG11B,8,F,Peripheral_blood_mononuclear_cells
TACC1,8,F,Peripheral_blood_mononuclear_cells
TMEM71,8,F,Peripheral_blood_mononuclear_cells
TOX,8,F,Peripheral_blood_mononuclear_cells
TRHR,8,F,Peripheral_blood_mononuclear_cells
ASPN,9,F,Peripheral_blood_mononuclear_cells
CDKN2B,9,F,Peripheral_blood_mononuclear_cells
CNTNAP3B,9,F,Peripheral_blood_mononuclear_cells
EPB41L4B,9,F,Peripheral_blood_mononuclear_cells
