,Species,Gene,Chromosome,HREloc,GeneDirection,GeneStart,GeneStop,Distance,Proxy,HRE_direct,HRE,Info
490,Homo_sapiens,ATXN7,3,64006193,+,63863144,64003462,2731,Down,hk2f,hk2,"ID=gene-ATXN7;Dbxref=GeneID:6314,HGNC:HGNC:10560,MIM:607640;Name=ATXN7;description=ataxin 7;gbkey=Gene;gene=ATXN7;gene_biotype=protein_coding;gene_synonym=ADCAII,OPCA3,SCA7,SGF73"
483,Homo_sapiens,PSMD6,3,64006193,-,64024007,64010551,4358,Down,hk2f,hk2,"ID=gene-PSMD6;Dbxref=GeneID:9861,HGNC:HGNC:9564,MIM:617857;Name=PSMD6;description=proteasome 26S subunit%2C non-ATPase 6;gbkey=Gene;gene=PSMD6;gene_biotype=protein_coding;gene_synonym=p42A,p44S10,Rpn7,S10,SGA-113M"
496,Homo_sapiens,PRICKLE2,3,64269587,-,64268173,64092236,1414,Up,pb2r,pb2,"ID=gene-PRICKLE2;Dbxref=GeneID:166336,HGNC:HGNC:20340,MIM:608501;Name=PRICKLE2;description=prickle planar cell polarity protein 2;gbkey=Gene;gene=PRICKLE2;gene_biotype=protein_coding;gene_synonym=EPM5"
484,Homo_sapiens,MAGI1,3,65350554,-,66038918,65353526,2972,Down,csref,csre,"ID=gene-MAGI1;Dbxref=GeneID:9223,HGNC:HGNC:946,MIM:602625;Name=MAGI1;description=membrane associated guanylate kinase%2C WW and PDZ domain containing 1;gbkey=Gene;gene=MAGI1;gene_biotype=protein_coding;gene_synonym=AIP-3,AIP3,BAIAP1,BAP-1,BAP1,MAGI-1,MAGI-1b,Magi1d,TNRC19,WWP3"
497,Homo_sapiens,LRIG1,3,66511024,-,66501121,66378797,9903,Up,care,care,"ID=gene-LRIG1;Dbxref=GeneID:26018,HGNC:HGNC:17360,MIM:608868;Name=LRIG1;description=leucine rich repeats and immunoglobulin like domains 1;gbkey=Gene;gene=LRIG1;gene_biotype=protein_coding;gene_synonym=LIG-1,LIG1"
498,Homo_sapiens,UBA3,3,69082859,-,69080373,69054730,2486,Up,slp2f,slp2,"ID=gene-UBA3;Dbxref=GeneID:9039,HGNC:HGNC:12470,MIM:603172;Name=UBA3;description=ubiquitin like modifier activating enzyme 3;gbkey=Gene;gene=UBA3;gene_biotype=protein_coding;gene_synonym=hUBA3,NAE2,UBE1C"
469,Homo_sapiens,COL8A1,3,99614297,+,99638594,99799217,24297,Up,psa1f,psa1,"ID=gene-COL8A1;Dbxref=GeneID:1295,HGNC:HGNC:2215,MIM:120251;Name=COL8A1;description=collagen type VIII alpha 1 chain;gbkey=Gene;gene=COL8A1;gene_biotype=protein_coding;gene_synonym=C3orf7"
470,Homo_sapiens,BBX,3,107520755,+,107522962,107811339,2207,Up,asrer,asre,"ID=gene-BBX;Dbxref=GeneID:56987,HGNC:HGNC:14422;Name=BBX;description=BBX high mobility group box domain containing;gbkey=Gene;gene=BBX;gene_biotype=protein_coding;gene_synonym=ARTC1,HBP2,HSPC339,MDS001"
499,Homo_sapiens,MORC1,3,109119261,-,109118134,108958248,1127,Up,asref,asre,"ID=gene-MORC1;Dbxref=GeneID:27136,HGNC:HGNC:7198,MIM:603205;Name=MORC1;description=MORC family CW-type zinc finger 1;gbkey=Gene;gene=MORC1;gene_biotype=protein_coding;gene_synonym=CT33,MORC,ZCW6"
471,Homo_sapiens,NECTIN3,3,111065391,+,111071764,111201444,6373,Up,c3r,c3,"ID=gene-NECTIN3;Dbxref=GeneID:25945,HGNC:HGNC:17664,MIM:607147;Name=NECTIN3;description=nectin cell adhesion molecule 3;gbkey=Gene;gene=NECTIN3;gene_biotype=protein_coding;gene_synonym=CD113,CDW113,NECTIN-3,PPR3,PRR3,PVRL3,PVRR3"
500,Homo_sapiens,ATG3,3,112569333,-,112561962,112532510,7371,Up,psa3f,psa3,"ID=gene-ATG3;Dbxref=GeneID:64422,HGNC:HGNC:20962,MIM:609606;Name=ATG3;description=autophagy related 3;gbkey=Gene;gene=ATG3;gene_biotype=protein_coding;gene_synonym=APG3,APG3-LIKE,APG3L,PC3-96"
472,Homo_sapiens,SLC35A5,3,112559583,+,112561320,112585579,1737,Up,mvdpr,mvdp,"ID=gene-SLC35A5;Dbxref=GeneID:55032,HGNC:HGNC:20792;Name=SLC35A5;description=solute carrier family 35 member A5;gbkey=Gene;gene=SLC35A5;gene_biotype=protein_coding"
501,Homo_sapiens,CCDC80,3,112656937,-,112641143,112596797,15794,Up,psa1f,psa1,"ID=gene-CCDC80;Dbxref=GeneID:151887,HGNC:HGNC:30649,MIM:608298;Name=CCDC80;description=coiled-coil domain containing 80;gbkey=Gene;gene=CCDC80;gene_biotype=protein_coding;gene_synonym=CL2,DRO1,LINC01279,okuribin,SSG1,URB"
502,Homo_sapiens,TMEM39A,3,119471410,-,119463632,119428949,7778,Up,csrer,csre,"ID=gene-TMEM39A;Dbxref=GeneID:55254,HGNC:HGNC:25600;Name=TMEM39A;description=transmembrane protein 39A;gbkey=Gene;gene=TMEM39A;gene_biotype=protein_coding;gene_synonym=SUSR2"
485,Homo_sapiens,HGD,3,120620863,-,120682555,120628168,7305,Down,pb2f,pb2,"ID=gene-HGD;Dbxref=GeneID:3081,HGNC:HGNC:4892,MIM:607474;Name=HGD;description=homogentisate 1%2C2-dioxygenase;gbkey=Gene;gene=HGD;gene_biotype=protein_coding;gene_synonym=AKU,HGO"
473,Homo_sapiens,FBXO40,3,121583809,+,121593379,121630295,9570,Up,pem2r,pem2,"ID=gene-FBXO40;Dbxref=GeneID:51725,HGNC:HGNC:29816,MIM:609107;Name=FBXO40;description=F-box protein 40;gbkey=Gene;gene=FBXO40;gene_biotype=protein_coding;gene_synonym=FBX40"
503,Homo_sapiens,PARP9,3,122569719,-,122564784,122527924,4935,Up,sc12f,sc12,"ID=gene-PARP9;Dbxref=GeneID:83666,HGNC:HGNC:24118,MIM:612065;Name=PARP9;description=poly(ADP-ribose) polymerase family member 9;gbkey=Gene;gene=PARP9;gene_biotype=protein_coding;gene_synonym=ARTD9,BAL,BAL1,MGC:7868"
474,Homo_sapiens,PARP15,3,122569719,+,122575926,122639047,6207,Up,sc12f,sc12,"ID=gene-PARP15;Dbxref=GeneID:165631,HGNC:HGNC:26876,MIM:612066;Name=PARP15;description=poly(ADP-ribose) polymerase family member 15;gbkey=Gene;gene=PARP15;gene_biotype=protein_coding;gene_synonym=ARTD7,BAL3,pART7"
504,Homo_sapiens,ZXDC,3,126490221,-,126475938,126437348,14283,Up,hklkr,hklk,"ID=gene-ZXDC;Dbxref=GeneID:79364,HGNC:HGNC:28160,MIM:615746;Name=ZXDC;description=ZXD family zinc finger C;gbkey=Gene;gene=ZXDC;gene_biotype=protein_coding;gene_synonym=ZXDL"
505,Homo_sapiens,TPRA1,3,127621609,-,127598231,127571232,23378,Up,slp3f,slp3,"ID=gene-TPRA1;Dbxref=GeneID:131601,HGNC:HGNC:30413,MIM:608336;Name=TPRA1;description=transmembrane protein adipocyte associated 1;gbkey=Gene;gene=TPRA1;gene_biotype=protein_coding;gene_synonym=GPR175,TMEM227,TPRA40"
475,Homo_sapiens,PODXL2,3,127621609,+,127629185,127672802,7576,Up,slp3f,slp3,"ID=gene-PODXL2;Dbxref=GeneID:50512,HGNC:HGNC:17936,MIM:616627;Name=PODXL2;description=podocalyxin like 2;gbkey=Gene;gene=PODXL2;gene_biotype=protein_coding;gene_synonym=EG,PODLX2"
476,Homo_sapiens,TMEM108,3,133030364,+,133038391,133397775,8027,Up,sc12f,sc12,"ID=gene-TMEM108;Dbxref=GeneID:66000,HGNC:HGNC:28451,MIM:617361;Name=TMEM108;description=transmembrane protein 108;gbkey=Gene;gene=TMEM108;gene_biotype=protein_coding;gene_synonym=CT124,RTLN"
477,Homo_sapiens,BFSP2,3,133376045,+,133397882,133475208,21837,Up,mvdpr,mvdp,"ID=gene-BFSP2;Dbxref=GeneID:8419,HGNC:HGNC:1041,MIM:603212;Name=BFSP2;description=beaded filament structural protein 2;gbkey=Gene;gene=BFSP2;gene_biotype=protein_coding;gene_synonym=CP47,CP49,CTRCT12,LIFL-L,PHAKOSIN"
478,Homo_sapiens,SLC35G2,3,136799720,+,136819126,136855892,19406,Up,slp2r,slp2,"ID=gene-SLC35G2;Dbxref=GeneID:80723,HGNC:HGNC:28480,MIM:617812;Name=SLC35G2;description=solute carrier family 35 member G2;gbkey=Gene;gene=SLC35G2;gene_biotype=protein_coding;gene_synonym=TMEM22"
491,Homo_sapiens,CLDN18,3,138040899,+,137998816,138033649,7250,Down,ccnd1f,ccnd1,"ID=gene-CLDN18;Dbxref=GeneID:51208,HGNC:HGNC:2039,MIM:609210;Name=CLDN18;description=claudin 18;gbkey=Gene;gene=CLDN18;gene_biotype=protein_coding;gene_synonym=SFTA5,SFTPJ"
506,Homo_sapiens,COMMD2,3,149767045,-,149752489,149738472,14556,Up,hk2f,hk2,"ID=gene-COMMD2;Dbxref=GeneID:51122,HGNC:HGNC:24993,MIM:616699;Name=COMMD2;description=COMM domain containing 2;gbkey=Gene;gene=COMMD2;gene_biotype=protein_coding;gene_synonym=HSPC042"
507,Homo_sapiens,LXN,3,158681652,-,158672722,158666414,8930,Up,asrer,asre,"ID=gene-LXN;Dbxref=GeneID:56925,HGNC:HGNC:13347,MIM:609305;Name=LXN;description=latexin;gbkey=Gene;gene=LXN;gene_biotype=protein_coding;gene_synonym=ECI,TCI"
508,Homo_sapiens,SLITRK3,3,165212850,-,165197109,165186720,15741,Up,care,care,"ID=gene-SLITRK3;Dbxref=GeneID:22865,HGNC:HGNC:23501,MIM:609679;Name=SLITRK3;description=SLIT and NTRK like family member 3;gbkey=Gene;gene=SLITRK3;gene_biotype=protein_coding"
509,Homo_sapiens,DGKG,3,186364559,-,186362234,186147201,2325,Up,psa1f,psa1,"ID=gene-DGKG;Dbxref=GeneID:1608,HGNC:HGNC:2853,MIM:601854;Name=DGKG;description=diacylglycerol kinase gamma;gbkey=Gene;gene=DGKG;gene_biotype=protein_coding;gene_synonym=DAGK3,DGK-GAMMA"
510,Homo_sapiens,DGKG,3,186369608,-,186362234,186147201,7374,Up,hk2r,hk2,"ID=gene-DGKG;Dbxref=GeneID:1608,HGNC:HGNC:2853,MIM:601854;Name=DGKG;description=diacylglycerol kinase gamma;gbkey=Gene;gene=DGKG;gene_biotype=protein_coding;gene_synonym=DAGK3,DGK-GAMMA"
511,Homo_sapiens,TBCCD1,3,186571530,-,186570543,186546067,987,Up,pem1r,pem1,"ID=gene-TBCCD1;Dbxref=GeneID:55171,HGNC:HGNC:25546;Name=TBCCD1;description=TBCC domain containing 1;gbkey=Gene;gene=TBCCD1;gene_biotype=protein_coding"
512,Homo_sapiens,CLDN1,3,190328544,-,190322446,190305707,6098,Up,pb2r,pb2,"ID=gene-CLDN1;Dbxref=GeneID:9076,HGNC:HGNC:2032,MIM:603718;Name=CLDN1;description=claudin 1;gbkey=Gene;gene=CLDN1;gene_biotype=protein_coding;gene_synonym=CLD1,ILVASC,SEMP1"
479,Homo_sapiens,SLC51A,3,196209733,+,196216534,196233427,6801,Up,hklkf,hklk,"ID=gene-SLC51A;Dbxref=GeneID:200931,HGNC:HGNC:29955,MIM:612084;Name=SLC51A;description=solute carrier family 51 subunit alpha;gbkey=Gene;gene=SLC51A;gene_biotype=protein_coding;gene_synonym=OSTA,OSTalpha,PFIC6"
529,Homo_sapiens,BST1,4,15777008,+,15701866,15774178,2830,Down,psa1r,psa1,"ID=gene-BST1;Dbxref=GeneID:683,HGNC:HGNC:1118,MIM:600387;Name=BST1;description=bone marrow stromal cell antigen 1;gbkey=Gene;gene=BST1;gene_biotype=protein_coding;gene_synonym=CD157"
513,Homo_sapiens,CD38,4,15777008,+,15778328,15853232,1320,Up,psa1r,psa1,"ID=gene-CD38;Dbxref=GeneID:952,HGNC:HGNC:1667,MIM:107270;Name=CD38;description=CD38 molecule;gbkey=Gene;gene=CD38;gene_biotype=protein_coding;gene_synonym=ADPRC 1,ADPRC1"
523,Homo_sapiens,TAPT1,4,16156267,-,16226477,16160505,4238,Down,psa3r,psa3,"ID=gene-TAPT1;Dbxref=GeneID:202018,HGNC:HGNC:26887,MIM:612758;Name=TAPT1;description=transmembrane anterior posterior transformation 1;gbkey=Gene;gene=TAPT1;gene_biotype=protein_coding;gene_synonym=CMVFR,OCLSBG"
514,Homo_sapiens,PCDH7,4,30713863,+,30720369,31146800,6506,Up,pem1r,pem1,"ID=gene-PCDH7;Dbxref=GeneID:5099,HGNC:HGNC:8659,MIM:602988;Name=PCDH7;description=protocadherin 7;gbkey=Gene;gene=PCDH7;gene_biotype=protein_coding;gene_synonym=BH-Pcdh,BHPCDH,PPP1R120"
515,Homo_sapiens,TBC1D1,4,37879617,+,37891084,38139173,11467,Up,pem2r,pem2,"ID=gene-TBC1D1;Dbxref=GeneID:23216,HGNC:HGNC:11578,MIM:609850;Name=TBC1D1;description=TBC1 domain family member 1;gbkey=Gene;gene=TBC1D1;gene_biotype=protein_coding;gene_synonym=TBC,TBC1"
524,Homo_sapiens,APBB2,4,40803778,-,41216714,40810027,6249,Down,slp2f,slp2,"ID=gene-APBB2;Dbxref=GeneID:323,HGNC:HGNC:582,MIM:602710;Name=APBB2;description=amyloid beta precursor protein binding family B member 2;gbkey=Gene;gene=APBB2;gene_biotype=protein_coding;gene_synonym=FE65L,FE65L1"
525,Homo_sapiens,LNX1,4,53450198,-,53652525,53458264,8066,Down,psa3f,psa3,"ID=gene-LNX1;Dbxref=GeneID:84708,HGNC:HGNC:6657,MIM:609732;Name=LNX1;description=ligand of numb-protein X 1;gbkey=Gene;gene=LNX1;gene_biotype=protein_coding;gene_synonym=LNX,MPDZ,PDZRN2"
534,Homo_sapiens,LNX1,4,53676462,-,53652525,53458264,23937,Up,asrer,asre,"ID=gene-LNX1;Dbxref=GeneID:84708,HGNC:HGNC:6657,MIM:609732;Name=LNX1;description=ligand of numb-protein X 1;gbkey=Gene;gene=LNX1;gene_biotype=protein_coding;gene_synonym=LNX,MPDZ,PDZRN2"
535,Homo_sapiens,KDR,4,55148087,-,55125595,55078481,22492,Up,pem2r,pem2,"ID=gene-KDR;Dbxref=GeneID:3791,HGNC:HGNC:6307,MIM:191306;Name=KDR;description=kinase insert domain receptor;gbkey=Gene;gene=KDR;gene_biotype=protein_coding;gene_synonym=CD309,FLK1,VEGFR,VEGFR2"
530,Homo_sapiens,SRD5A3,4,55377134,+,55346228,55373100,4034,Down,psa1r,psa1,"ID=gene-SRD5A3;Dbxref=GeneID:79644,HGNC:HGNC:25812,MIM:611715;Name=SRD5A3;description=steroid 5 alpha-reductase 3;gbkey=Gene;gene=SRD5A3;gene_biotype=protein_coding;gene_synonym=CDG1P,CDG1Q,KRIZI,SRD5A2L,SRD5A2L1"
516,Homo_sapiens,TMEM165,4,55377134,+,55395653,55453397,18519,Up,psa1r,psa1,"ID=gene-TMEM165;Dbxref=GeneID:55858,HGNC:HGNC:30760,MIM:614726;Name=TMEM165;description=transmembrane protein 165;gbkey=Gene;gene=TMEM165;gene_biotype=protein_coding;gene_synonym=CDG2K,FT27,GDT1,SLC64A1,TMPT27,TPARL"
517,Homo_sapiens,MTHFD2L,4,74114534,+,74123273,74303099,8739,Up,hklkr,hklk,"ID=gene-MTHFD2L;Dbxref=GeneID:441024,HGNC:HGNC:31865,MIM:614047;Name=MTHFD2L;description=methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like;gbkey=Gene;gene=MTHFD2L;gene_biotype=protein_coding"
518,Homo_sapiens,CXCL13,4,77490364,+,77511753,77611834,21389,Up,hk2f,hk2,"ID=gene-CXCL13;Dbxref=GeneID:10563,HGNC:HGNC:10639,MIM:605149;Name=CXCL13;description=C-X-C motif chemokine ligand 13;gbkey=Gene;gene=CXCL13;gene_biotype=protein_coding;gene_synonym=ANGIE,ANGIE2,BCA-1,BCA1,BLC,BLR1L,SCYB13"
536,Homo_sapiens,PAQR3,4,78962794,-,78939438,78887225,23356,Up,asrer,asre,"ID=gene-PAQR3;Dbxref=GeneID:152559,HGNC:HGNC:30130,MIM:614577;Name=PAQR3;description=progestin and adipoQ receptor family member 3;gbkey=Gene;gene=PAQR3;gene_biotype=protein_coding;gene_synonym=RKTG"
537,Homo_sapiens,WDFY3,4,84969596,-,84966690,84669597,2906,Up,psa1f,psa1,"ID=gene-WDFY3;Dbxref=GeneID:23001,HGNC:HGNC:20751,MIM:617485;Name=WDFY3;description=WD repeat and FYVE domain containing 3;gbkey=Gene;gene=WDFY3;gene_biotype=protein_coding;gene_synonym=ALFY,BCHS,MCPH18,ZFYVE25"
538,Homo_sapiens,MAPK10,4,86615381,-,86594625,86010405,20756,Up,csref,csre,"ID=gene-MAPK10;Dbxref=GeneID:5602,HGNC:HGNC:6872,MIM:602897;Name=MAPK10;description=mitogen-activated protein kinase 10;gbkey=Gene;gene=MAPK10;gene_biotype=protein_coding;gene_synonym=JNK3,JNK3A,p493F12,p54bSAPK,PRKM10,SAPK1b"
519,Homo_sapiens,MMRN1,4,89878358,+,89879511,89954629,1153,Up,care,care,"ID=gene-MMRN1;Dbxref=GeneID:22915,HGNC:HGNC:7178,MIM:601456;Name=MMRN1;description=multimerin 1;gbkey=Gene;gene=MMRN1;gene_biotype=protein_coding;gene_synonym=ECM,EMILIN4,GPIa*,MMRN"
531,Homo_sapiens,RAP1GDS1,4,98449585,+,98261381,98443858,5727,Down,asrer,asre,"ID=gene-RAP1GDS1;Dbxref=GeneID:5910,HGNC:HGNC:9859,MIM:179502;Name=RAP1GDS1;description=Rap1 GTPase-GDP dissociation stimulator 1;gbkey=Gene;gene=RAP1GDS1;gene_biotype=protein_coding;gene_synonym=GDS1,SmgGDS"
539,Homo_sapiens,TSPAN5,4,98676535,-,98658661,98470367,17874,Up,hk2r,hk2,"ID=gene-TSPAN5;Dbxref=GeneID:10098,HGNC:HGNC:17753,MIM:613136;Name=TSPAN5;description=tetraspanin 5;gbkey=Gene;gene=TSPAN5;gene_biotype=protein_coding;gene_synonym=NET-4,NET4,TM4SF9,TSPAN-5"
532,Homo_sapiens,BANK1,4,102077788,+,101790482,102074812,2976,Down,care,care,"ID=gene-BANK1;Dbxref=GeneID:55024,HGNC:HGNC:18233,MIM:610292;Name=BANK1;description=B cell scaffold protein with ankyrin repeats 1;gbkey=Gene;gene=BANK1;gene_biotype=protein_coding;gene_synonym=BANK"
526,Homo_sapiens,NUDT6,4,122888158,-,122922968,122892577,4419,Down,mvdpr,mvdp,"ID=gene-NUDT6;Dbxref=GeneID:11162,HGNC:HGNC:8053,MIM:606261;Name=NUDT6;description=nudix hydrolase 6;gbkey=Gene;gene=NUDT6;gene_biotype=protein_coding;gene_synonym=ASFGF2,FGF-AS,FGF2AS,GFG-1,GFG1"
520,Homo_sapiens,RBM46,4,154756705,+,154781249,154828813,24544,Up,csrer,csre,"ID=gene-RBM46;Dbxref=GeneID:166863,HGNC:HGNC:28401;Name=RBM46;description=RNA binding motif protein 46;gbkey=Gene;gene=RBM46;gene_biotype=protein_coding;gene_synonym=CT68"
533,Homo_sapiens,NPY2R,4,155218278,+,155173723,155217076,1202,Down,slp2r,slp2,"ID=gene-NPY2R;Dbxref=GeneID:4887,HGNC:HGNC:7957,MIM:162642;Name=NPY2R;description=neuropeptide Y receptor Y2;gbkey=Gene;gene=NPY2R;gene_biotype=protein_coding;gene_synonym=NPY2-R"
521,Homo_sapiens,KLHL2,4,165192546,+,165207561,165323156,15015,Up,slp3r,slp3,"ID=gene-KLHL2;Dbxref=GeneID:11275,HGNC:HGNC:6353,MIM:605774;Name=KLHL2;description=kelch like family member 2;gbkey=Gene;gene=KLHL2;gene_biotype=protein_coding;gene_synonym=ABP-KELCH,MAV,MAYVEN"
522,Homo_sapiens,CPE,4,165378540,+,165379008,165498547,468,Up,psa1r,psa1,"ID=gene-CPE;Dbxref=GeneID:1363,HGNC:HGNC:2303,MIM:114855;Name=CPE;description=carboxypeptidase E;gbkey=Gene;gene=CPE;gene_biotype=protein_coding;gene_synonym=BDVS,CPH,IDDHH"
527,Homo_sapiens,FBXO8,4,174232826,-,174283667,174236658,3832,Down,slp2f,slp2,"ID=gene-FBXO8;Dbxref=GeneID:26269,HGNC:HGNC:13587,MIM:605649;Name=FBXO8;description=F-box protein 8;gbkey=Gene;gene=FBXO8;gene_biotype=protein_coding;gene_synonym=DC10,FBS,FBX8"
540,Homo_sapiens,DCTD,4,182940501,-,182917611,182890091,22890,Up,slp3f,slp3,"ID=gene-DCTD;Dbxref=GeneID:1635,HGNC:HGNC:2710,MIM:607638;Name=DCTD;description=dCMP deaminase;gbkey=Gene;gene=DCTD;gene_biotype=protein_coding"
528,Homo_sapiens,CFAP97,4,185145713,-,185205443,185151723,6010,Down,mvdpr,mvdp,"ID=gene-CFAP97;Dbxref=GeneID:57587,HGNC:HGNC:29276,MIM:616047;Name=CFAP97;description=cilia and flagella associated protein 97;gbkey=Gene;gene=CFAP97;gene_biotype=protein_coding;gene_synonym=hmw,KIAA1430"
568,Homo_sapiens,MRPL36,5,1823061,-,1801432,1798385,21629,Up,slp2f,slp2,"ID=gene-MRPL36;Dbxref=GeneID:64979,HGNC:HGNC:14490,MIM:611842;Name=MRPL36;description=mitochondrial ribosomal protein L36;gbkey=Gene;gene=MRPL36;gene_biotype=protein_coding;gene_synonym=BRIP1,L36mt,MRP-L36,PRPL36,RPMJ"
561,Homo_sapiens,NDUFS6,5,1823061,+,1801407,1816048,7013,Down,slp2f,slp2,"ID=gene-NDUFS6;Dbxref=GeneID:4726,HGNC:HGNC:7713,MIM:603848;Name=NDUFS6;description=NADH:ubiquinone oxidoreductase subunit S6;gbkey=Gene;gene=NDUFS6;gene_biotype=protein_coding;gene_synonym=CI-13kA,CI-13kD-A,CI13KDA,MC1DN9"
562,Homo_sapiens,SRD5A1,5,6683275,+,6633440,6674386,8889,Down,csref,csre,"ID=gene-SRD5A1;Dbxref=GeneID:6715,HGNC:HGNC:11284,MIM:184753;Name=SRD5A1;description=steroid 5 alpha-reductase 1;gbkey=Gene;gene=SRD5A1;gene_biotype=protein_coding;gene_synonym=S5AR 1"
563,Homo_sapiens,IL7R,5,35888995,+,35856891,35879603,9392,Down,psa3r,psa3,"ID=gene-IL7R;Dbxref=GeneID:3575,HGNC:HGNC:6024,MIM:146661;Name=IL7R;description=interleukin 7 receptor;gbkey=Gene;gene=IL7R;gene_biotype=protein_coding;gene_synonym=CD127,CDW127,IL-7R-alpha,IL7RA,ILRA"
569,Homo_sapiens,HMGCS1,5,43319168,-,43313477,43287470,5691,Up,pb2f,pb2,"ID=gene-HMGCS1;Dbxref=GeneID:3157,HGNC:HGNC:5007,MIM:142940;Name=HMGCS1;description=3-hydroxy-3-methylglutaryl-CoA synthase 1;gbkey=Gene;gene=HMGCS1;gene_biotype=protein_coding;gene_synonym=HMGCS"
564,Homo_sapiens,MAP1B,5,72210582,+,72107475,72209565,1017,Down,pem2f,pem2,"ID=gene-MAP1B;Dbxref=GeneID:4131,HGNC:HGNC:6836,MIM:157129;Name=MAP1B;description=microtubule associated protein 1B;gbkey=Gene;gene=MAP1B;gene_biotype=protein_coding;gene_synonym=FUTSCH,MAP5,PPP1R102,PVNH9"
553,Homo_sapiens,MRPS27,5,72210582,-,72320240,72219403,8821,Down,pem2f,pem2,"ID=gene-MRPS27;Dbxref=GeneID:23107,HGNC:HGNC:14512,MIM:611989;Name=MRPS27;description=mitochondrial ribosomal protein S27;gbkey=Gene;gene=MRPS27;gene_biotype=protein_coding;gene_synonym=MRP-S27,S27mt"
554,Homo_sapiens,ZNF366,5,72434924,-,72507410,72439903,4979,Down,asrer,asre,"ID=gene-ZNF366;Dbxref=GeneID:167465,HGNC:HGNC:18316,MIM:610159;Name=ZNF366;description=zinc finger protein 366;gbkey=Gene;gene=ZNF366;gene_biotype=protein_coding;gene_synonym=DC-SCRIPT,DCSCRIPT"
541,Homo_sapiens,FCHO2,5,72949610,+,72956041,73090522,6431,Up,csref,csre,"ID=gene-FCHO2;Dbxref=GeneID:115548,HGNC:HGNC:25180,MIM:613438;Name=FCHO2;description=FCH and mu domain containing endocytic adaptor 2;gbkey=Gene;gene=FCHO2;gene_biotype=protein_coding"
542,Homo_sapiens,TMEM174,5,73160328,+,73173193,73175143,12865,Up,slp2r,slp2,"ID=gene-TMEM174;Dbxref=GeneID:134288,HGNC:HGNC:28187,MIM:614909;Name=TMEM174;description=transmembrane protein 174;gbkey=Gene;gene=TMEM174;gene_biotype=protein_coding"
565,Homo_sapiens,IQGAP2,5,76710077,+,76403285,76708132,1945,Down,psa1r,psa1,"ID=gene-IQGAP2;Dbxref=GeneID:10788,HGNC:HGNC:6111,MIM:605401;Name=IQGAP2;description=IQ motif containing GTPase activating protein 2;gbkey=Gene;gene=IQGAP2;gene_biotype=protein_coding"
566,Homo_sapiens,IQGAP2,5,76713480,+,76403285,76708132,5348,Down,csref,csre,"ID=gene-IQGAP2;Dbxref=GeneID:10788,HGNC:HGNC:6111,MIM:605401;Name=IQGAP2;description=IQ motif containing GTPase activating protein 2;gbkey=Gene;gene=IQGAP2;gene_biotype=protein_coding"
543,Homo_sapiens,MSH3,5,80633694,+,80654652,80876815,20958,Up,hk2f,hk2,"ID=gene-MSH3;Dbxref=GeneID:4437,HGNC:HGNC:7326,MIM:600887;Name=MSH3;description=mutS homolog 3;gbkey=Gene;gene=MSH3;gene_biotype=protein_coding;gene_synonym=DUP,FAP4,MRP1"
544,Homo_sapiens,RHOBTB3,5,95699141,+,95713522,95796361,14381,Up,hk2f,hk2,"ID=gene-RHOBTB3;Dbxref=GeneID:22836,HGNC:HGNC:18757,MIM:607353;Name=RHOBTB3;description=Rho related BTB domain containing 3;gbkey=Gene;gene=RHOBTB3;gene_biotype=protein_coding"
555,Homo_sapiens,ELL2,5,95882199,-,95961962,95885098,2899,Down,sc12r,sc12,"ID=gene-ELL2;Dbxref=GeneID:22936,HGNC:HGNC:17064,MIM:601874;Name=ELL2;description=elongation factor for RNA polymerase II 2;gbkey=Gene;gene=ELL2;gene_biotype=protein_coding;gene_synonym=MRCCAT1"
556,Homo_sapiens,ELL2,5,95882228,-,95961962,95885098,2870,Down,sc12f,sc12,"ID=gene-ELL2;Dbxref=GeneID:22936,HGNC:HGNC:17064,MIM:601874;Name=ELL2;description=elongation factor for RNA polymerase II 2;gbkey=Gene;gene=ELL2;gene_biotype=protein_coding;gene_synonym=MRCCAT1"
570,Homo_sapiens,FBXL17,5,108395312,-,108382098,107859035,13214,Up,mvdpf,mvdp,"ID=gene-FBXL17;Dbxref=GeneID:64839,HGNC:HGNC:13615,MIM:609083;Name=FBXL17;description=F-box and leucine rich repeat protein 17;gbkey=Gene;gene=FBXL17;gene_biotype=protein_coding;gene_synonym=Fbl17,Fbx13,FBXO13"
545,Homo_sapiens,DCP2,5,112956017,+,112976702,113022195,20685,Up,psa1f,psa1,"ID=gene-DCP2;Dbxref=GeneID:167227,HGNC:HGNC:24452,MIM:609844;Name=DCP2;description=decapping mRNA 2;gbkey=Gene;gene=DCP2;gene_biotype=protein_coding;gene_synonym=NUDT20"
571,Homo_sapiens,TRIM36,5,115194695,-,115180296,115124772,14399,Up,pb2r,pb2,"ID=gene-TRIM36;Dbxref=GeneID:55521,HGNC:HGNC:16280,MIM:609317;Name=TRIM36;description=tripartite motif containing 36;gbkey=Gene;gene=TRIM36;gene_biotype=protein_coding;gene_synonym=ANPH,ANPH1,HAPRIN,RBCC728,RNF98"
546,Homo_sapiens,SNX2,5,122751378,+,122774996,122834543,23618,Up,ccnd1r,ccnd1,"ID=gene-SNX2;Dbxref=GeneID:6643,HGNC:HGNC:11173,MIM:605929;Name=SNX2;description=sorting nexin 2;gbkey=Gene;gene=SNX2;gene_biotype=protein_coding;gene_synonym=TRG-9"
